INTEGRATED_NAME,ADDRESS,AREA,TREES_KIND,coniferous_deciduous_ratio,evergreen_deciduous_ratio,keyword,번잡도,기쁨,자유로움,성취감,편안함,사랑,감사,흥미,재미,희망,자부심
장안근린공원,서울특별시 동대문구 장안동 300,14744.8,모과나무 매실나무 양버즘나무 단풍나무 목련 잣나무 오동나무 이팝나무 계수나무 버드나무 산딸나무 은행나무 소나무 피나무 사과나무 산수유 뽕나무 향나무 감나무 가죽나무 느티나무 벚나무 물푸레나무 모감주나무 메타세쿼이아 아까시나무 오동나무 가문비나무 칠엽수 측백나무 백합나무 팥배나무,0.225806452,0.161290323,"뚝방길,분수,운동기구,독서실",높음,5.006451614,3.638709677,7.445161289,6.587096774,3.451612904,3.187096775,6.761290322,6.148387095,6.341935484,6.432258064
용두근린공원,서울특별시 동대문구 용두동 34-1,17182,모과나무 매실나무 단풍나무 목련 잣나무 이팝나무 버드나무 산딸나무 은행나무 소나무 산수유 뽕나무 향나무 감나무 느티나무 벚나무 메타세쿼이아 백합나무 배롱나무 때죽나무 살구나무 참나무 회화나무 왕벚나무 대추나무 중국단풍 밤나무 주목 자귀나무,0.206896552,0.137931034,"반려견 놀이터, 잔디쉼터,분수",높음,4.951724138,3.668965517,7.503448276,6.55862069,3.386206895,3.131034482,6.772413794,6.227586206,6.337931035,6.462068966
우산각어린이공원,서울특별시 동대문구 신설동 109-4,5294.2,양버즘나무 단풍나무 목련 잣나무 산딸나무 은행나무 소나무 산수유 뽕나무 느티나무 벚나무 메타세쿼이아 오동나무 측백나무 살구나무 자두나무 주목,0.352941176,0.235294118,"야외도서관,동대문도서관,역사",중간,4.84117647,4.135294118,7.052941177,7.711764705,3.75882353,3.664705883,5.852941176,4.982352942,6.935294117,6.064705882
안골어린이공원,서울특별시 동대문구 장안동 402,1652.3,단풍나무 잣나무 은행나무 소나무 산수유 느티나무 측백나무 전나무,0.625,0.5,"야간산책,놀이터",높음,6.1,3,6.4,7.25,4.4,4,6.65,4.6,6.55,6.05
장일어린이공원,서울특별시 동대문구 장안동 164-1,992,단풍나무 잣나무 은행나무 소나무 산수유 느티나무 벚나무 살구나무 복숭아나무,0.333333333,0.222222222,체육 공간 조성,높음,5.288888888,3.466666667,7.200000001,6.777777777,3.622222222,3.333333333,6.755555556,5.755555557,6.422222222,6.377777778
미나리어린이공원,서울특별시 동대문구 장안동 449,1636.3,양버즘나무 단풍나무 목련 잣나무 산딸나무 은행나무 소나무 산수유 뽕나무 향나무 느티나무 벚나무 모감주나무 오동나무 칠엽수 살구나무 중국단풍,0.235294118,0.176470588,"벽화,놀이터",높음,5.035294118,3.623529411,7.411764706,6.600000001,3.494117646,3.223529411,6.752941177,6.105882352,6.341176471,6.411764706
한내어린이공원,서울특별시 동대문구 장안동 348,1617.2,단풍나무 잣나무 이팝나무 산딸나무 은행나무 소나무 피나무 산수유 느티나무 벚나무 모감주나무,0.272727273,0.181818182,체육시설,높음,5.127272728,3.563636363,7.345454545,6.672727274,3.50909091,3.236363637,6.763636363,5.981818181,6.381818182,6.418181818
장이소공원,서울특별시 동대문구 장안동 587-1,1403.6,모과나무 단풍나무 목련 잣나무 이팝나무 소나무 느티나무 벚나무 배롱나무 팽나무 참나무,0.181818182,0.181818182,스카이라인,높음,4.90909091,3.709090909,7.49090909,6.490909091,3.50909091,3.236363637,6.727272727,6.272727272,6.272727273,6.381818182
샛별어린이공원,서울특별시 동대문구 장안동 379,1652.9,모과나무 양버즘나무 단풍나무 목련 잣나무 이팝나무 산딸나무 소나무 피나무 감나무 느티나무 메타세쿼이아 살구나무 주목,0.285714286,0.214285714,"정원대보름,민속놀이",높음,5.171428572,3.542857142,7.285714286,6.685714286,3.599999999,3.314285714,6.742857143,5.914285714,6.371428572,6.371428572
장미어린이공원,서울특별시 동대문구 장안동 386,1652.8,양버즘나무 단풍나무 잣나무 은행나무 소나무 느티나무,0.5,0.333333333,"동대지기 2기, 아이들 세상, 웃음소리",높음,5.733333334,3.2,6.800000001,7.066666667,3.933333333,3.599999999,6.733333334,5.133333334,6.533333334,6.266666667
동산어린이공원,서울특별시 동대문구 답십리동 998-1,1359.2,모과나무 단풍나무 목련 잣나무 이팝나무 소나무 사과나무 감나무 느티나무 벚나무 느릅나무 주목,0.25,0.25,환경정화,높음,5.1,3.6,7.3,6.6,3.7,3.4,6.7,6,6.3,6.3
아름드리어린이공원,서울특별시 동대문구 전농동 688-7,2626.5,단풍나무 잣나무 산딸나무 소나무 사과나무 산수유 뽕나무 가죽나무 느티나무 벚나무 메타세쿼이아,0.272727273,0.181818182,"어린이, 아름답다, 놀이공간, 인천 유래",중간,4.627272728,4.263636363,7.245454545,7.572727274,3.60909091,3.536363637,5.863636363,5.281818181,6.881818182,6.118181818
늘봄어린이공원,서울특별시 동대문구 장안동 343,1659.2,모과나무 양버즘나무 단풍나무 이팝나무 은행나무 소나무 산수유 향나무 감나무 느티나무 모감주나무 칠엽수,0.25,0.166666667,"노후 공원 개선, 어린 나무, 리모델링, 재조성, 도시숲",높음,5.066666666,3.6,7.399999999,6.633333333,3.466666667,3.200000001,6.766666666,6.066666666,6.366666666,6.433333333
방아다리어린이공원,서울특별시 동대문구 제기동 132-1,1537,단풍나무 목련 잣나무 이팝나무 산딸나무 소나무 산수유 감나무 느티나무 벚나무 측백나무 주목,0.333333333,0.333333333,"공원텃밭, 놀이시설, 테마형 놀이터",낮음,4.333333333,4.866666667,6.866666667,8.533333333,4.133333333,4.199999999,4.866666666,4.266666668,7.333333333,5.600000001
휘경어린이공원,서울특별시 동대문구 휘경동 372-2,3426.3,단풍나무 목련 잣나무 이팝나무 산딸나무 은행나무 소나무 산수유 감나무 느티나무 벚나무 측백나무 살구나무 자두나무 중국단풍 말채나무,0.25,0.1875,"환경개선 , 자연, 소나무, 놀이시설, 휘경어린이도서관",중간,4.575,4.3,7.275,7.525,3.625,3.55,5.85,5.35,6.85,6.1
마로니에어린이공원,서울특별시 동대문구 장안동 325,1656.2,단풍나무 잣나무 은행나무 사과나무 향나무 느티나무 물푸레나무 칠엽수 중국단풍 스트로브잣나무,0.4,0.3,"조합놀이대, 쉼터",높음,5.48,3.36,7,6.88,3.84,3.52,6.72,5.48,6.44,6.28
천호대로,서울특별시 동대문구 용두동 237-10,3,양버즘나무 이팝나무 은행나무 느티나무 백합나무,0.27173913,0,,높음,5.052173912,3.565217392,7.565217392,6.74347826,3,2.8,6.908695652,6.130434784,6.526086956,6.708695652
외대역동로,서울특별시 동대문구 휘경동 112-43,0.00961636744,양버즘나무,0.0615384615,0,,중간,4.047692307,4.601538462,7.801538462,7.223076923,3.1,3.1,5.924615385,6.103076923,6.773846154,6.324615385
제기로17길,서울특별시 동대문구 청량리동 203-316,0.00298358426,은행나무,0.96969697,0,,낮음,5.727272728,3.848484848,6.248484848,9.93939394,3.2,3.4,5.387878788,2.496969696,8.363636364,6.387878788
답십리로,서울특별시 동대문구 전농동 485-11,0.034362769,양버즘나무,0.213675214,0,,중간,4.412820514,4.358119658,7.558119658,7.527350428,3.1,3.1,5.985470086,5.616239315,6.956410257,6.385470086
사가정로,서울특별시 동대문구 장안동 469-1,0.0786551059,양버즘나무 단풍나무 이팝나무 은행나무 회화나무,0.59375,0,,높음,5.825,3.05,7.05,7.3875,3,2.8,7.0375,5.1,6.9125,6.8375
